paper_id,title,author,abstract,affiliation,address,category
97,SUPPORTING TECHNOLOGY TRANSFER OF FORMAL TECHNICAL REVIEW THROUGH A COMPUTER SUPPORTED COLLABORATIVE REVIEW SYSTEM,Philip M. Johnson,"Abstract Formal technical review (FTR) is an essential component of all modern software quality assessment, assurance, and improvement techniques, and is acknowledged to be the most cost-effective form of quality improvement when practiced effectively. However, traditional FTR methods such as inspection are very difficult to adopt in organizations: they introduce substantial new up-front costs, training, overhead, and group process obstacles. Sustained commitment from high-level management along with substantial resources is often necessary for successful technology transfer of FTR. Since 1991, we have been designing and evaluating a series of versions of a system called CSRS: an instrumented, computer-supported cooperative work environment for formal technical review. The current version of CSRS includes an FTR method definition language, which allows organizations to design their own FTR method, and to evolve it over time. This paper describes how our approach to computer supported FTR can address some of the issues in technology transfer of FTR.",Department of Information and Computer Sciences University of Hawaii,"Honolulu, HI 96822",6
98,Combinatory Differential Fields: An Algebraic Approach to Approximate Computation and Constructive Analysis,Karl Aberer,"Abstract The algebraic structure of combinatory differential fields is constructed to provide a semantics for computations in analysis. In this setting programs, approximations, limits and operations of analysis are represented as algebraic terms. Analytic algorithms can be derived by algebraic methods. The main tool in this construction are combinatory models which are inner algebras of Engeler graph models. As an universal domain of denotational semantics the lattice structure of the graph models allows to give a striking simple semantics for computations with approximations. As models of combinatory algebra they provide all essential computational constructs, including recursion. Combinatory models are constructed as extensions of first order theories. The classical first order theory to describe analysis is the theory of differential fields. It turns out that two types of computational constructs, namely composition and piecewise definition of functions, are preferably introduced as extensions of the differential fields theory. Combinatory differential fields are then the combinatory models of these enriched differential fields. We show for basic algorithms of computational analysis how their combinatory counterparts are derived in the algebraic setting. We illustrate how these algorithms are suitable to be implemented in a computer algebra environment like mathematica.",,"International Computer Science Institute, Berkeley, CA 94704.",5
99,An Efficient Parallel Algorithm for Computing a Maximal Independent Set in a Hypergraph of Dimension 3,Elias Dahlhaus 1 Marek Karpinski 2 Peter Kelsen 3,Abstract The paper considers the problem of computing a maximal independent set in a hypergraph (see [3] and [7]). We present an efficient deterministic NC algorithm for finding a maximal independent set in a hypergraph of dimension 3: the algorithm runs in time O(log 4 n) time on n + m processors of an EREW PRAM and is optimal up to a polylogarithmic factor. Our algorithm adapts the technique of Goldberg and Spencer ([5]) for finding a maximal independent set in a graph (or hypergraph of dimension 2). It is the first efficient NC algorithm for finding a maximal independent set in a hypergraph of dimension greater than 2.,"Department of Computer Science, University of Bonn,",5300 Bonn 1.,0
100,Modeling a Copier Paper Path: A Case Study in Modeling Transportation Processes,Vineet Gupta Peter Struss,"Abstract We present a compositional model of paper transportation in a photocopier that is meant to support different problem solving tasks like simulation and diagnosis, and to be applicable to a variety of configurations. Therefore, we try to avoid making hard-wired implicit assumptions about design principles and possible scenarios. In order to simplify our analysis, the model abstracts away from the physical forces and reasons only about velocities. Nonetheless, it succeeds in determining essential features of the motion of the sheet of paper like buckling and tearing. The framework provided is quite generic and can be used as a starting point for developing models of other transportation domains.","Xerox Palo Alto Research Center,","3333 Coyote Hill Road, Palo Alto CA 94304 USA.",6
101,Smoothing and Multiplexing Tradeoffs for Deterministic Performance Guarantees to VBR Video,Edward W. Knightly and Paola Rossaro,"Abstract The burstiness of variable bit rate traffic makes it difficult to both efficiently utilize network resources and provide end-to-end network performance guarantees to the traffic sources. Generally, smoothing or shaping traffic sources at the entrance of the network reduces their burstiness to allow higher utilization within the network. However, this buffering introduces an additional delay so that, in effect, lossless smoothing trades queueing delay inside the network for smoothing delay at the network edge. In this paper, we consider the net effect of smoothing on end-to-end performance guarantees where a no-loss, no-delay-violation deterministic guarantee is provided with the D-BIND traffic model. We analytically quantify these tradeoffs and provide a set of general rules for determining under which conditions smoothing provides a net gain. We also empirically investigate these tradeoffs using traces of MPEG compressed video.","Also with EECS Department, U.C. Berkeley",,0
102,Managing ABR Capacity in Reservation-based Slotted Networks,Roya Ulrich and Pieter Kritzinger,"Abstract For slotted networks carrying full multi-media traffic to work successfully, it is essential that connection setup and management is done well under all traffic conditions. Major challenges remain with the current state of the technology, however, particularly on how one copes with traffic bursts. Existing reservation-based networks do not allow the user to dynamically adjust his bandwidth requirements on demand. In this paper we propose a new scheme, called the reservoir scheme, which allows dynamic and distributed resource allocation. The basic idea behind the scheme is to reserve bandwidth with a guaranteed bit rate for each virtual circuit. The user is allowed to decentrally allocate additional bandwidth from an Available Bit Rate (ABR) reservoir to satisfy dynamic changes of Variable Bit Rate (VBR) traffic. The duration and bandwidth of this dynamic access are negotiated in the call setup phase and do not require any renegotiation with the service provider so that this solution overcomes the rigidity of current static bandwidth reservation schemes. The additional management requirements are low compared to other dynamic bandwidth reservation schemes. We also describe an analytic model and simulation which we used to determine whether it would be practical to apply the proposed scheme in a slotted network.",INTERNATIONAL COMPUTER SCIENCE INSTITUTE,"I 1947 Center St. * Suite 600 * Berkeley, California 94704-1198 *",2
103,A Management Platform for Global Area ATM Networks,Roya Ulrich,"Abstract Technological progress has made providing numerous new services to large number of users possible. Concurrently, we also experience an increased interest in real-time and interactive applications, e. g. teleseminaring, video conferencing and application sharing, in particular, because of the worldwide and decentralized character of today's research and development organizations. The International Computer Science Institute (ICSI) is a participant of the first transatlantic ATM link which is an integral part of the Multimedia Applications on Intercontinental Highways (MAY) Project. Additionally, ICSI is attached to the Bay Area Gigabit Network (BAGNet) providing ATM connectivity at the best-effort basis. Both projects provide platforms to identify the key research and development topics in cooperative real-time communication. The technical report gives a brief introduction to the ATM infrastructure at ICSI and addresses challenging management issues of multimedia applications in such global area ATM networks. We explore three management areas: performance, configuration, and fault management with respect to the user's point of view. Finally, we introduce a management platform and tools we have been developing which help the user to better predict the quality of service provided and to recover from faults occurred in the system or during a transmission.",INTERNATIONAL COMPUTER SCIENCE INSTITUTE,"I 1947 Center St. * Suite 600 * Berkeley, California 94704-1198",1
104,On-line Load Balancing for Related Machines,Piotr Berman  Moses Charikar  Marek Karpinski,"Abstract We consider the problem of scheduling permanent jobs on related machines in an on-line fashion. We design a new algorithm that achieves the competitive ratio of 3 + p 8 5:828 for the deterministic version, and 3:31= ln 2:155 4:311 for its randomized variant, improving the previous competitive ratios of 8 and 2e 5:436. We also prove lower bounds of 2:4380 on the competitive ratio of deterministic algorithms and 1:8372 on the competitive ratio of randomized algorithms for this problem.","Dept. of Computer Science & Eng., Pennsylvania State University,","University Park, PA16802, USA",1
105,On Learning Soccer Strategies,"Rafa l Sa lustowicz, Marco Wiering, Jurgen Schmidhuber","Abstract. We use simulated soccer to study multiagent learning. Each team's players (agents) share action set and policy but may behave differently due to position-dependent inputs. All agents making up a team are rewarded or punished collectively in case of goals. We conduct simulations with varying team sizes, and compare two learning algorithms: TD-Q learning with linear neural networks (TD-Q) and Probabilistic Incremental Program Evolution (PIPE). TD-Q is based on evaluation functions (EFs) mapping input/action pairs to expected reward, while PIPE searches policy space directly. PIPE uses an adaptive probability distribution to synthesize programs that calculate action probabilities from current inputs. Our results show that TD-Q has difficulties to learn appropriate shared EFs. PIPE, however, does not depend on EFs and finds good policies faster and more reliably.","IDSIA,","Corso Elvezia 36, 6900 Lugano, Switzerland",1
106,Induction as Knowledge Integration,Benjamin D. Smith,"Abstract Two key issues for induction algorithms are the accuracy of the learned hypothesis and the computational resources consumed in inducing that hypothesis. One of the most promising ways to improve performance along both dimensions is to make use of additional knowledge. Multi-strategy learning algorithms tackle this problem by employing several strategies for handling different kinds of knowledge in different ways. However, integrating knowledge into an induction algorithm can be difficult when the new knowledge differs significantly from the knowledge the algorithm already uses. In many cases the algorithm must be rewritten. This paper presents KII, a Knowledge Integration framework for Induction, that provides a uniform mechanism for integrating knowledge into induction. In theory, arbitrary knowledge can be integrated with this mechanism, but in practice the knowledge representation language determines both the knowledge that can be integrated, and the costs of integration and induction. By instantiating KII with various set representations, algorithms can be generated at different trade-off points along these dimensions. One instantiation of KII, called RS-KII, is presented that can implement hybrid induction algorithms, depending on which knowledge it utilizes. RS-KII is demonstrated to implement AQ-11 (Michalski 1978), as well as a hybrid algorithm that utilizes a domain theory and noisy examples. Other algorithms are also possible.",Jet Propulsion Laboratory California Institute of Technology,"4800 Oak Grove Drive M/S 525-3660 Pasadena, CA 91109-8099",2
107,Generality and Difficulty in Genetic Programming: Evolving a Sort,"Kenneth E. Kinnear, Jr.","Abstract Genetic Programming is applied to the task of evolving general iterative sorting algorithms. A connection between size and generality was discovered. Adding inverse size to the fitness measure along with correctness not only decreases the size of the resulting evolved algorithms, but also dramatically increases their generality and thus the effectiveness of the evolution process. In addition, a variety of differing problem formulations are investigated and the relative probability of success for each is reported. An example of an evolved sort from each problem formulation is presented, and an initial attempt is made to understand the variations in difficulty resulting from these differing problem formulations.",Adaptive Computing Technology,"62 Picnic Rd. Boxboro, MA 01719 USA",6
108,The Treadmill: Real-Time Garbage Collection Without Motion Sickness,Henry G. Baker,"A simple real-time garbage collection algorithm is presented which does not copy, thereby avoiding some of the problems caused by the asynchronous motion of objects. This in-place ""treadmill"" garbage collection scheme has approximately the same complexity as other nonmoving garbage collectors, thus making it usable in a high-level language implementation where some pointers cannot be traced. The treadmill is currently being used in a Lisp system built in Ada.","Nimble Computer Corporation,","16231 Meadow Ridge Way, Encino, CA 91436",5
109,Efficient Optimistic Concurrency Control Using Loosely Synchronized Clocks,Atul Adya Robert Gruber Barbara Liskov Umesh Maheshwari,"Abstract This paper describes an efficient optimistic concurrency control scheme for use in distributed database systems in which objects are cached and manipulated at client machines while persistent storage and transactional support are provided by servers. The scheme provides both serializability and external consistency for committed transactions; it uses loosely synchronized clocks to achieve global serialization. It stores only a single version of each object, and avoids maintaining any concurrency control information on a per- object basis; instead, it tracks recent invalidations on a per-client basis, an approach that has low in-memory space overhead and no per-object disk overhead. In addition to its low space overheads, the scheme also performs well. The paper presents a simulation study that compares the scheme to adaptive callback locking, the best concurrency control scheme for client-server object-oriented database systems studied to date. The study shows that our scheme outperforms adaptive callback locking for low to moderate contention workloads, and scales better with the number of clients. For high contention workloads, optimism can result in a high abort rate; the scheme presented here is a first step toward a hybrid scheme that we expect to perform well across the full range of workloads.","Laboratory for Computer Science, Massachusetts Institute of Technology,","545 Technology Square, Cambridge, MA 02139",6
110,Context-Insensitive Alias Analysis Reconsidered,Erik Ruf,,Microsoft Research Advanced Technology Division Microsoft Corporation,"One Microsoft Way Redmond, WA 98052",1
111,Behavior Near Zero of the Distribution of GCV Smoothing Parameter Estimates 1,by Grace Wahba and Yuedong Wang,,DEPARTMENT OF STATISTICS University of Wisconsin,"1210 West Dayton St. Madison, WI 53706",2
112,Toward a Lexicalized Grammar for Interlinguas,CLARE VOSS,"Abstract. In this paper we present one aspect of our research on machine translation (MT): capturing the grammatical and computational relation between (i) the interlingua (IL) as defined declaratively in the lexicon and (ii) the IL as defined procedurally by way of algorithms that compose and decompose pivot IL forms. We begin by examining the interlinguas in the lexicons of a variety of current IL-based approaches to MT. This brief survey makes it clear that no consensus exists among MT researchers on the level of representation for defining the IL. In the section that follows, we explore the consequences of this missing formal framework for MT system builders who develop their own lexical-IL entries. The lack of software tools to support rapid IL respecification and testing greatly hampers their ability to modify representations to handle new data and new domains. Our view is that IL-based MT research needs both (a) the formal framework to specify possible IL grammars and (b) the software support tools to implement and test these grammars. With respect to (a), we propose adopting a lexicalized grammar approach, tapping research results from the study of tree grammars for natural language syntax. With respect to (b), we sketch the design and functional specifications for parts of ILustrate, the set of software tools that we need to implement and test the various IL formalisms that meet the requirements of a lexicalized grammar. In this way, we begin to address a basic issue in MT research, how to define and test an interlingua as a computational language | without building a full MT system for each possible IL formalism that might be proposed.","Department of Computer Science, University of Maryland,","College Park, MD 20742",2
113,GROWING RADIAL BASIS FUNCTION NETWORKS,"E. BLANZIERI , P. KATENKAMP flfl and A. GIORDANA flflfl","Abstract. This paper presents and evaluates two algorithms for incrementally constructing Radial Basis Function Networks, a class of neural networks which looks more suitable for adtaptive control applications than the more popular backpropagation networks. The first algorithm has been derived by a previous method developed by Fritzke, while the second one has been inspired by the CART algorithm developed by Breiman for generation regression trees. Both algorithms proved to work well on a number of tests and exhibit comparable performances. An evaluation on the standard case study of the Mackey-Glass temporal series is reported.","Centro di Scienza Cognitiva, Universita di Torino,","Via Lagrange 3, 10100 Torino, Italy.",1
114,On Scheduling Two Classes of Real Time Traffic With Identical Deadlines,Sridhar Pingali,"Abstract The problem of scheduling two classes of real-time traffic with correlated time constraints is considered. Three scheduling disciplines are studied: a priority discipline which gives strict priority to one class of traffic, a threshold-based scheme in which priority is given to one class of traffic when the minimum laxity of its queued packets falls below some threshold, and a ""balancing"" scheme which assigns priority on the basis of the differences in minimum laxities in the two classes of traffic. Analytic results are obtained by using a discrete time model to obtain the state occupancy probabilities for the system. Here, the state is defined using the laxities of the queued real time packets. Parameters are defined to study the tradeoff in the performance of the two classes of traffic. Results are obtained to demonstrate how the balancing scheme permits us to achieve significant improvement in the performance of one class of traffic with only minimal effect on the performance of other class. A video application is suggested for this work.",Dept. of Electrical and Computer Engineering University of Masschusetts,"Amherst, MA 01003",5
115,The Effectiveness of Affinity-Based Scheduling in Multiprocessor Networking,"James D. Salehi, James F. Kurose, and Don Towsley","Abstract Techniques for avoiding the high memory overheads found on many modern shared-memory multiprocessors are of increasing importance in the development of high-performance multiprocessor protocol implementations. One such technique is processor-cache affinity scheduling, which can significantly lower packet latency and substantially increase protocol processing throughput [20]. In this paper, we evaluate several aspects of the effectiveness of affinity-based scheduling in multiprocessor network protocol processing, under packet-level and connection-level par-allelization approaches. Specifically, we evaluate the performance of the scheduling technique 1) when a large number of streams are concurrently supported, 2) when processing includes copying of uncached packet data, 3) as applied to send-side protocol processing, and 4) in the presence of stream burstiness and source locality, two well-known properties of network traffic. We find that affinity-based scheduling performs well under these conditions, emphasizing its robustness and general effectiveness in multiprocessor network processing. In addition, we explore a technique which improves the caching behavior and available packet-level concurrency under connection-level parallelism, and find performance improves dramatically.","Computer Science Department, University of Massachusetts,","Amherst MA 01003, USA",5
116,Optimal Smoothing of Stored Video and the Impact on Network Resource Requirements fly,"James D. Salehi, Zhi-Li Zhang, James F. Kurose, and Don Towsley","Abstract VBR compressed video is known to exhibit significant, multiple-time-scale bit rate variability. In this paper, we consider the transmission of stored video from a server to a client across a high speed network, and explore how the client buffer space can be used most effectively toward reducing the variability of the transmitted bit rate. We present two basic results. First, we show how to achieve the greatest possible reduction in rate variability when sending stored video to a client with given buffer size. We formally establish the optimality of our optimal smoothing approach, and illustrate its performance over a set of long MPEG-1 encoded video traces. Second, we evaluate the impact of optimal smoothing on the network resources needed for video transport, under two network service models: Deterministic Guaranteed service [1, 11] and Renegotiated CBR (RCBR) service [9, 8]. Under both models, we find the impact of optimal smoothing to be dramatic.",Department of Computer Science University of Massachusetts,"Amherst, MA 01003, U.S.A",5
117,Paging Tradeoffs in Distributed-Shared-Memory Multiprocessors,"Douglas C. Burger, Rahmat S. Hyder, Barton P. Miller, David A. Wood","Abstract Massively parallel processors have begun using commodity operating systems that support demand-paged virtual memory. To evaluate the utility of virtual memory, we measured the behavior of seven shared-memory parallel application programs on a simulated distributed-shared-memory machine. Our results (i) confirm the importance of gang CPU scheduling, (ii) show that a page-faulting processor should spin rather than invoke a parallel context switch, (iii) show that our parallel programs frequently touch most of their data, and (iv) indicate that memory, not just CPUs, must be ""gang scheduled"". Overall, our experiments demonstrate that demand paging has limited value on current parallel machines because of the applications' synchronization and memory reference patterns and the machines' high page-fault and parallel-context-switch overheads.",Computer Sciences Department University of Wisconsin-Madison,"1210 W. Dayton Street Madison, WI 53706 USA",6
118,Supporting Irregular Distributions in FORTRAN 90D/HPF Compilers,Ravi Ponnusamy yz Yuan-Shin Hwang Raja Das  Joel Saltz Alok Choudhary Geoffrey Fox,"Abstract This paper presents methods that make it possible to efficiently support irregular problems using data parallel languages. The approach involves the use of a portable, compiler-independent, runtime support library called CHAOS. The CHAOS runtime support library contains procedures that * support static and dynamic distributed array partitioning, * partition loop iterations and indirection arrays, * remap arrays from one distribution to another, and * carry out index translation, buffer allocation and communication schedule generation. The CHAOS runtime procedures are used by a prototype Fortran 90D compiler as runtime support for irregular problems. This paper also presents performance results of compiler-generated and hand-parallelized versions of two stripped down applications codes. The first code is derived from an unstructured mesh computational fluid dynamics flow solver and the second is derived from the molecular dynamics code CHARMM. A method is described that makes it possible to emulate irregular distributions in HPF by reordering elements of data arrays and renumbering indirection arrays. The results suggest that an HPF compiler could use reordering and renumbering extrinsic functions to obtain performance comparable to that achieved by a compiler for a language (such as Fortran 90D) that directly supports irregular distributions.",UMIACS and Computer Science Department Northeast Parallel Architectures Center University of Maryland Syracuse University,"College Park, MD 20742 Syracuse, NY 13244",5
119,High Performance Verification Algorithms,by Jagesh V. Sanghavi,,Engineering Electrical Engineering and Computer Sciences,,6
120,THE PAPIA2 MACHINE: HARDWARE AND SOFTWARE ARCHITECTURE,"A. Biancardi, V. Cantoni, M. Ferretti and M. Mosconi","ABSTRACT This paper presents the overall structure of PAPIA2, a pyramid system belonging to the family of massive parallel machines. It embeds the topology of the quad-pyramid into a highly regular, fault tolerant, eight-connected proces sor array by means of specially reconfigurable near-neighbor interconnections. The system comes with a fully-fledged software environment designed to optimize the use of machine resources. The highly interactive graphic tools help in understanding the machine's capabilities, provide a valuable testbed for the machine instruction set, and offer a suitable context for monitoring program execution.",Dipartimento di Informatica e Sistemistica University of Pavia,"Via Abbiategrasso 209 I-27100 PAVIA, ITALY",5
121,Simulations with an Evolvable Fitness Formula,Henrik Hautop Lund Domenico Parisi,"Abstract The concept of a fitness formula as a property of an organism is proposed. In artificial life simulations with organisms living in an environment, the fitness formula can be interpreted as the ability of organisms to extract energy from potential food sources distributed in the environment. In simulations where the goal of the genetic algorithm is that of developing systems which exhibit a certain type of behavior in a particular environment, the fitness formula becomes an independent variable which can be manipulated in order to obtain the desired behavior. The fitness formula can be viewed as an evolvable trait of organisms, and therefore not fixed and decided by the researcher. Simulations with fixed and evolvable fitness formulae show that the fitness formula, the sensory apparatus, and the behavior of organisms may co-evolve and be co-adapted.","Institute of Psychology National Research Council,","Viale Marx 15, 00137 Rome, Italy",5
122,"Layered, Server-based Support for Object-Oriented Application Development",Guruduth Banavar Douglas Orr Gary Lindstrom,"Abstract This paper advocates the idea that the physical modularity (file structure) of application components supported by conventional OS environments can be elevated to the level of logical modularity, which in turn can directly support application development in an object-oriented manner. We demonstrate this idea through a system-wide server that manages the manipulation of such components effectively. The server is designed to be a fundamental operating system service responsible for binding and mapping component instances into client address spaces. We show how this model solves some longstanding problems with the management of application components in existing application development environments. We demonstrate that this model's effectiveness derives from its support for the cornerstones of OO programming: classes and their instances, encapsulation, and several forms of inheritance.","Department of Computer Science University of Utah,","Salt Lake City, UT 84112 USA",1
123,Dynamic Management of Guaranteed Performance Multimedia Connections,"Colin Parris, Hui Zhang , and Domenico Ferrari","Abstract Most of the solutions proposed to support real-time (i.e. guaranteed performance) communication services in packet-switching networks adopt a connection-oriented and reservation-oriented approach. In such an approach, resource allocation and route selection decisions are made before the start of the communication on the basis of resource availability and real-time network load at that time, and are usually kept for the duration of the communication. This rather static resource management approach has certain limitations: it does not take into account (a) the dynamics of the communicating clients; (b) the dynamics of the network state; and (c) the tradeoff between quality of service and network availability, thus affecting the availability and flexibility of the real-time network services. Availability is the ability of the network to accommodate as many real-time clients as possible, while flexibility is the ability to adapt the real-time services to changing network state and client demands. In this paper, we present the Dynamic Connection Management (DCM) scheme, which addresses these issues by providing the network with the capability to dynamically modify the performance parameters and the routes of any existing real-time connection. With these capabilities, DCM can be used to increase the availability and flexibility of the guaranteed performance service offered to the clients.",Computer Science Division University of California at Berkeley,"Berkeley, CA 94720",6
124,Probabilistic Independence Networks for Hidden Markov Probability Models,"Padhraic Smyth, David Heckerman, and Michael Jordan","bstract Graphical techniques for modeling the dependencies of random variables have been explored in a variety of different areas including statistics, statistical physics, artificial intelligence, speech recognition, image processing, and genetics. Formalisms for manipulating these models have been developed relatively independently in these research communities. In this paper we explore hidden Markov models (HMMs) and related structures within the general framework of probabilistic independence networks (PINs). The paper contains a self-contained review of the basic principles of PINs. It is shown that the well-known forward-backward (F-B) and Viterbi algorithms for HMMs are special cases of more general inference algorithms for arbitrary PINs. Furthermore, the existence of inference and estimation algorithms for more general graphical models provides a set of analysis tools for HMM practitioners who wish to explore a richer class of HMM structures. Examples of relatively complex models to handle sensor fusion and coarticulation in speech recognition are introduced and treated within the graphical model framework to illustrate the advantages of the general approach.",MASSACHUSETTS INSTITUTE OF TECHNOLOGY ARTIFICIAL INTELLIGENCE LABORATORY and CENTER FOR BIOLOGICAL AND COMPUTATIONAL LEARNING DEPARTMENT OF BRAIN AND COGNITIVE SCIENCES,,6
125,Networks and the Best Approximation Property,Federico Girosi and Tomaso Poggio,"Abstract Networks can be considered as approximation schemes. Multilayer networks of the backpropagation type can approximate arbitrarily well continuous functions (Cybenko, 1989; Funahashi, 1989; Stinchcombe and White, 1989). We prove that networks derived from regularization theory and including Radial Basis Functions (Poggio and Girosi, 1989), have a similar property. From the point of view of approximation theory, however, the property of approximating continuous functions arbitrarily well is not sufficient for characterizing good approximation schemes. More critical is the property of best approximation. The main result of this paper is that multilayer networks, of the type used in backpropagation, are not best approximation. For regularization networks (in particular Radial Basis Function networks) we prove existence and uniqueness of best approximation.",MASSACHUSETTS INSTITUTE OF TECHNOLOGY ARTIFICIAL INTELLIGENCE LABORATORY and CENTER FOR BIOLOGICAL INFORMATION PROCESSING WHITAKER COLLEGE,,1
126,,Jonathan E. Hazan and Richard G. Morgan,"Abstract Programmers using imperative languages have a number of well-established debugging tools available to them; functional programmers have few, if any, tools available. Many of the tools and techniques developed for debugging functional programs are based on those for imperative programming and lack a theoretical basis relevant to functional programming. In addition, the techniques used are typically very time-consuming. A theoretical foundation on which to base the study of errors and debugging in functional programming is presented in this report. Using this theoretical foundation, a set of program transformation schemes has been developed which facilitate the location of the type of error which results in an evaluation-time error message and the termination of evaluation. A brief description of the practical experience ob tained using the tool is also presented.","Artificial Intelligence Systems Research Group Computer Science Division School of Engineering and Computer Science University of Durham,","DH1 3LE, UK",5
127,SEQUOIA 2000 -- A REFLECTION ON THE FIRST THREE YEARS,Michael Stonebraker,"Abstract This paper describes the SEQUOIA 2000 project and its implementation efforts during the first three years. Included are the objectives we had, how we chose to address them and some of the lessons we learned from this endeavor.","EECS Department University of California, Berkeley",,1
128,Parallelization of Linearized Applications in Fortran D,Lorie M. Liebrock Ken Kennedy,,Center for Research on Parallel Computation Rice University,"P.O. Box 1892 Houston, TX 77251-1892",6
129,Deterministic Parallel Fortran,K. Mani Chandy Ian Foster,"Abstract We describe Fortran M, message-passing extensions to Fortran 77 that provide deterministic execution and information hiding while preserving desirable properties of message passing.",,,5
130,Optimizing Fortran90D/HPF for Distributed-Memory Computers,by Gerald H. Roth,,RICE UNIVERSITY,,5
131,Using Multiple Node Types to Improve the Performance of DMP (Dynamic Multilayer Perceptron),Tim L. Andersen and Tony R. Martinez,"ABSTRACT This paper discusses a method for training multilayer perceptron networks called DMP2 (Dynamic Multilayer Perceptron 2). The method is based upon a divide and conquer approach which builds networks in the form of binary trees, dynamically allocating nodes and layers as needed. The focus of this paper is on the effects of using multiple node types within the DMP framework. Simulation results show that DMP2 performs favorably in comparison with other learning algorithms, and that using multiple node types can be beneficial to network performance.","Computer Science Department, Brigham Young University,","Provo, Utah 84602",5
132,The weakest reasonable memory model,by Matteo Frigo,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,1
133,ON THE POWER OF TWO-POINTS BASED SAMPLING,Benny Chor Oded Goldreich flfl,"Abstract | The purpose of this note is to present a new sampling technique and to demonstrate some of its properties. The new technique consists of picking two elements at random, and deterministically generating (from them) a long sequence of pairwise independent elements. The sequence is guarantees to intersect, with high probability, any set of non-negligible density.",MIT Laboratory for Computer Science,"Cambridge, Massachusetts 02139",5
134,Eventually-Serializable Data Services,Alan Fekete David Gupta Victor Luchangco Nancy Lynch Alex Shvartsman,"Abstract We present a new specification for distributed data services that trade-off immediate consistency guarantees for improved system availability and efficiency, while ensuring the long-term consistency of the data. An eventually-serializable data service maintains the operations requested in a partial order that gravitates over time towards a total order. It provides clear and unambiguous guarantees about the immediate and long-term behavior of the system. To demonstrate its utility, we present an algorithm, based on one of Ladin, Liskov, Shrira, and Ghemawat [12], that implements this specification. Our algorithm provides the interface of the abstract service, and generalizes their algorithm by allowing general operations and greater flexibility in specifying consistency requirements. We also describe how to use this specification as a building block for applications such as directory services.",,,1
135,Proactive RSA,Yair Frankel Peter Gemmell Philip D. MacKenzie Moti Yung x,"Abstract The notion of ""proactive security"" of basic primitives and cryptosystems that are distributed amongst various servers, was introduced in order to tolerate a very strong ""mobile adversary."" This adversary may corrupt all participants throughout the lifetime of the system in a non-monotonic fashion (i.e. recoveries are possible) but the adversary is unable to corrupt too many participants during any short time period [OstrovskyYung]. The notion assures increased security and availability of the cryptographic primitive. We present a proactive RSA system in which a threshold of servers applies the RSA signature (or decryption) function in a distributed manner; RSA is perhaps the most important trapdoor function in use. Employing new combinatorial and elementary number theoretic techniques, our protocol enables the dynamic updating of the servers (which hold the RSA key distributively); it is secure even when a linear number of the servers are corrupted during any time period (linear redundancy); it efficiently ""self-maintains"" the security of the function and its messages (ciphertexts or signatures); and it enables continuous availability, namely, correct function application using the shared key is possible at any time. We present an efficient way in which l servers can share an RSA private function so that, given 0 &lt; &lt; t &lt; 1: * Proactive (Dynamic) Robustness: A gateway G can combine information from any set of lt (honest) servers to deduce the RSA signature for any authorized message at any period. * Proactive Security (against mobile adversary): Our protocol is secure against a polynomial time adversary who controls the gateway G and time-variant sets of up to minfl(1 t ); lg servers, and can obtain the shares of up to l servers (including those that it corrupts). * Uniform Boundedness: The share-size is always bounded by the size of an RSA private key (i.e., logarithmically in N ). We also present special practical instances based on designs; some of these instances were recently implemented as part of a highly secure application testbed at Sandia National Laboratories. A major technical difficulty in ""proactivizing"" RSA was the fact that the servers have to update the ""distributed representation"" of an RSA key, while not learning the order of the group from which keys are drawn (in order not to compromise the RSA security).","Sandia National Labs,","P.O Box 5800, Albuquerque, NM 87185-1110,",1
136,Facial Expression Recognition using a Dynamic Model and Motion Energy,Irfan A. Essa and Alex P. Pentland,"Abstract Previous efforts at facial expression recognition have been based on the Facial Action Coding System (FACS), a representation developed in order to allow human psychologists to code expression from static facial mugshots. In this paper we develop new, more accurate representations for facial expression by building a video database of facial expressions and then probabilistically characterizing the facial muscle activation associated with each expression using a detailed physical model of the skin and muscles. This produces a muscle-based representation of facial motion, which is then used to recognize facial expressions in two different ways. The first method uses the physics-based model directly, by recognizing expressions through comparison of estimated muscle activations. The second method uses the physics-based model to generate spatio-temporal motion-energy templates of the whole face for each different expression. These simple, biologically-plausible motion energy templates are then used for recognition. Both methods show substantially greater accuracy at expression recognition than has been previously achieved.","Perceptual Computing Group, The Media Laboratory, Massachusetts Institute of Technology","Cambridge, MA 02139, U.S.A.",1
137,Multimodal Person Recognition using Unconstrained Audio and Video,"Tanzeem Choudhury, Brian Clarkson, Tony Jebara, Alex Pentland",Abstract We propose a person identification technique that can recognize and verify people from unconstrained video and audio. We do not expect fully frontal face image or clean speech as our input. Our recognition algorithm can detect and compensate for pose variation and changes in the auditory background and also select the most reliable video frame and audio clip to use for recognition. We also use 3D depth information of a human head to detect the presence of an actual person as opposed to an image of that person. Our system achieves 100% recognition and verification rates on natural real-time input with 26 registered clients.,Perceptual Computing Group MIT Media Laboratory,"Cambridge, MA 02139",1
